date,region,store,category,promo,units
2024-01-01,Capital,Sharq,Dairy,0,134
2024-01-08,Capital,Sharq,Dairy,0,135
2024-01-15,Capital,Sharq,Dairy,0,146
2024-01-22,Capital,Sharq,Dairy,0,142
2024-01-29,Capital,Sharq,Dairy,0,159
2024-02-05,Capital,Sharq,Dairy,0,158
2024-02-12,Capital,Sharq,Dairy,0,159
2024-02-19,Capital,Sharq,Dairy,0,143
2024-02-26,Capital,Sharq,Dairy,0,137
2024-03-04,Capital,Sharq,Dairy,0,140
2024-03-11,Capital,Sharq,Dairy,1,282
2024-03-18,Capital,Sharq,Dairy,1,326
2024-03-25,Capital,Sharq,Dairy,0,193
2024-04-01,Capital,Sharq,Dairy,0,249
2024-04-08,Capital,Sharq,Dairy,0,149
2024-04-15,Capital,Sharq,Dairy,0,174
2024-04-22,Capital,Sharq,Dairy,0,159
2024-04-29,Capital,Sharq,Dairy,0,158
2024-05-06,Capital,Sharq,Dairy,1,237
2024-05-13,Capital,Sharq,Dairy,1,214
2024-05-20,Capital,Sharq,Dairy,0,165
2024-05-27,Capital,Sharq,Dairy,0,163
2024-06-03,Capital,Sharq,Dairy,0,137
2024-06-10,Capital,Sharq,Dairy,0,157
2024-06-17,Capital,Sharq,Dairy,0,179
2024-06-24,Capital,Sharq,Dairy,0,133
2024-07-01,Capital,Sharq,Dairy,0,153
2024-07-08,Capital,Sharq,Dairy,1,195
2024-07-15,Capital,Sharq,Dairy,0,146
2024-07-22,Capital,Sharq,Dairy,0,126
2024-07-29,Capital,Sharq,Dairy,0,126
2024-08-05,Capital,Sharq,Dairy,1,149
2024-08-12,Capital,Sharq,Dairy,0,123
2024-08-19,Capital,Sharq,Dairy,1,176
2024-08-26,Capital,Sharq,Dairy,0,112
2024-09-02,Capital,Sharq,Dairy,0,98
2024-09-09,Capital,Sharq,Dairy,0,117
2024-09-16,Capital,Sharq,Dairy,0,124
2024-09-23,Capital,Sharq,Dairy,0,112
2024-09-30,Capital,Sharq,Dairy,1,172
2024-10-07,Capital,Sharq,Dairy,0,114
2024-10-14,Capital,Sharq,Dairy,0,116
2024-10-21,Capital,Sharq,Dairy,0,107
2024-10-28,Capital,Sharq,Dairy,0,116
2024-11-04,Capital,Sharq,Dairy,0,131
2024-11-11,Capital,Sharq,Dairy,0,134
2024-11-18,Capital,Sharq,Dairy,0,141
2024-11-25,Capital,Sharq,Dairy,0,139
2024-12-02,Capital,Sharq,Dairy,0,140
2024-12-09,Capital,Sharq,Dairy,1,149
2024-12-16,Capital,Sharq,Dairy,0,133
2024-12-23,Capital,Sharq,Dairy,0,179
2024-12-30,Capital,Sharq,Dairy,0,144
2025-01-06,Capital,Sharq,Dairy,0,164
2025-01-13,Capital,Sharq,Dairy,0,159
2025-01-20,Capital,Sharq,Dairy,0,174
2025-01-27,Capital,Sharq,Dairy,0,169
2025-02-03,Capital,Sharq,Dairy,0,157
2025-02-10,Capital,Sharq,Dairy,1,213
2025-02-17,Capital,Sharq,Dairy,0,184
2025-02-24,Capital,Sharq,Dairy,0,174
2025-03-03,Capital,Sharq,Dairy,0,153
2025-03-10,Capital,Sharq,Dairy,0,282
2025-03-17,Capital,Sharq,Dairy,0,296
2025-03-24,Capital,Sharq,Dairy,0,295
2025-03-31,Capital,Sharq,Dairy,0,297
2025-04-07,Capital,Sharq,Dairy,0,165
2025-04-14,Capital,Sharq,Dairy,0,216
2025-04-21,Capital,Sharq,Dairy,0,186
2025-04-28,Capital,Sharq,Dairy,0,172
2025-05-05,Capital,Sharq,Dairy,0,178
2025-05-12,Capital,Sharq,Dairy,0,172
2025-05-19,Capital,Sharq,Dairy,0,161
2025-05-26,Capital,Sharq,Dairy,0,177
2025-06-02,Capital,Sharq,Dairy,0,176
2025-06-09,Capital,Sharq,Dairy,0,167
2025-06-16,Capital,Sharq,Dairy,0,169
2025-06-23,Capital,Sharq,Dairy,0,160
2025-06-30,Capital,Sharq,Dairy,0,149
2025-07-07,Capital,Sharq,Dairy,0,147
2025-07-14,Capital,Sharq,Dairy,0,158
2025-07-21,Capital,Sharq,Dairy,0,130
2025-07-28,Capital,Sharq,Dairy,0,137
2025-08-04,Capital,Sharq,Dairy,0,151
2025-08-11,Capital,Sharq,Dairy,0,140
2025-08-18,Capital,Sharq,Dairy,0,142
2025-08-25,Capital,Sharq,Dairy,0,132
2025-09-01,Capital,Sharq,Dairy,0,117
2025-09-08,Capital,Sharq,Dairy,1,161
2025-09-15,Capital,Sharq,Dairy,0,129
2025-09-22,Capital,Sharq,Dairy,0,123
2025-09-29,Capital,Sharq,Dairy,1,163
2025-10-06,Capital,Sharq,Dairy,1,168
2025-10-13,Capital,Sharq,Dairy,0,138
2025-10-20,Capital,Sharq,Dairy,0,125
2025-10-27,Capital,Sharq,Dairy,0,145
2025-11-03,Capital,Sharq,Dairy,0,134
2025-11-10,Capital,Sharq,Dairy,0,149
2025-11-17,Capital,Sharq,Dairy,0,154
2025-11-24,Capital,Sharq,Dairy,0,166
2025-12-01,Capital,Sharq,Dairy,0,162
2025-12-08,Capital,Sharq,Dairy,1,217
2025-12-15,Capital,Sharq,Dairy,0,180
2025-12-22,Capital,Sharq,Dairy,1,181
2024-01-01,Capital,Sharq,Bakery,0,94
2024-01-08,Capital,Sharq,Bakery,0,114
2024-01-15,Capital,Sharq,Bakery,0,88
2024-01-22,Capital,Sharq,Bakery,0,112
2024-01-29,Capital,Sharq,Bakery,0,115
2024-02-05,Capital,Sharq,Bakery,0,101
2024-02-12,Capital,Sharq,Bakery,0,109
2024-02-19,Capital,Sharq,Bakery,1,165
2024-02-26,Capital,Sharq,Bakery,0,128
2024-03-04,Capital,Sharq,Bakery,0,118
2024-03-11,Capital,Sharq,Bakery,0,169
